numero,x_utm,y_utm,h,lnk,contadores
3706,303.030303,1868.686869,17.406,-0.73699458,0
2103,151.5151515,1060.606061,17.972,-1.204306193,0
9203,151.5151515,4646.464646,18.37,-4.052320091,0
5901,50.50505051,2979.79798,18.717,-3.469197889,0
6701,50.50505051,3383.838384,18.987,-5.481807606,0
4102,101.010101,2070.707071,19.522,0.510485566,0
0,0,0,20,-3.463115339,0
700,0,353.5353535,20,-3.449201355,0
5800,0,2929.292929,20,-3.442206894,0
9600,0,4848.484848,20,-5.151208566,0
499,5000,202.020202,0,-2.067275845,0
3799,5000,1868.686869,0,-5.797807481,0
6999,5000,3484.848485,0,-2.666198337,0
8798,4949.494949,4393.939394,0.023,-5.139793406,0
898,4949.494949,404.040404,0.05,-0.998911761,0
3998,4949.494949,1969.69697,0.065,-4.00211184,0
2298,4949.494949,1111.111111,0.077,-4.429202103,0
9094,4747.474747,4545.454545,0.088,-2.126868635,0
7298,4949.494949,3636.363636,0.1,-2.614901446,0
1497,4898.989899,707.0707071,0.108,-0.677293517,0
497,4898.989899,202.020202,0.117,-1.343618087,0
1997,4898.989899,959.5959596,0.125,-2.118681455,0
4994,4747.474747,2474.747475,0.129,-2.804104157,0
5795,4797.979798,2878.787879,0.137,1.425394875,0
9591,4595.959596,4797.979798,0.145,-0.947213965,0
2598,4949.494949,1262.626263,0.154,-5.067904302,0
1495,4797.979798,707.0707071,0.158,-0.023698607,0
5592,4646.464646,2777.777778,0.167,-1.851382093,0
193,4696.969697,50.50505051,0.178,-2.660503667,0
9988,4444.444444,5000,0.187,-1.373101767,0
6995,4797.979798,3484.848485,0.198,-0.130006185,0
7095,4797.979798,3535.353535,0.209,-0.102398241,0
9586,4343.434343,4797.979798,0.217,-0.169294775,0
9386,4343.434343,4696.969697,0.223,-0.151800111,0
5092,4646.464646,2525.252525,0.235,-4.156390193,0
6491,4595.959596,3232.323232,0.242,2.327082565,0
5991,4595.959596,2979.79798,0.248,0.420288037,0
